公众号名称,日期,标题,链接
川阅全球宏观,2026-08-05 21:37,美债在定价什么？（国联民生宏观林彦）,https://mp.weixin.qq.com/s/2pS0w187-1R88TJkCazM4A
川阅全球宏观,2026-08-02 19:30,跨越“千禧年”的大宗商品镜像（国联民生宏观陈艺鑫）,https://mp.weixin.qq.com/s/dVzHE-BIzA1x06VstzHYIw
川阅全球宏观,2026-07-30 17:04,政治局会议: 发力提效的几个信号（国联民生宏观陶川）,https://mp.weixin.qq.com/s/k0ugN832cnfIIUwpn9n4vA
川阅全球宏观,2026-07-20 22:32,从调研脉络看重要会议信号（国联民生宏观钟渝梅）,https://mp.weixin.qq.com/s/yKCeJk4G1ibHbs3fBAYU_w
损益笔记,2026-03-23 16:20,国际熊日评,https://mp.weixin.qq.com/s/kZCKxxdkfnQLJGUhLcQrpw
每调买机,2026-07-31 15:56,7.31：月线多头炮，超大周期多头主导，日线警惕冲高回落，综合建议每条买鸡，每冲不追鸡,https://mp.weixin.qq.com/s/C1OkNkDWXepqwNxlEM4eDA
每调买机,2026-07-22 15:56,7.22：TL正式进入多头择向阶段，建议交易按钮只设置多开和多平,https://mp.weixin.qq.com/s/8o5BPIynCx2iZ3gcwYY4Sw
上海国际货币经纪,2026-08-05 18:03,收盘日评 | 银行间固收市场20260805,https://mp.weixin.qq.com/s/-wvZeSmNVDuGZ4B3qrU4yg
上海国际货币经纪,2026-08-03 17:57,中资外币债券周报 | 20260727-20260731,https://mp.weixin.qq.com/s/nb1y9Nx3YcT5LfBwzU2blg
上海国际货币经纪,2026-07-31 18:36,收盘日评 | 银行间固收市场20260731,https://mp.weixin.qq.com/s/YE79D54U_94wDtGL5E7NoA
上海国际货币经纪,2026-07-30 18:02,收盘日评 | 银行间固收市场20260730,https://mp.weixin.qq.com/s/It5K9kEillS_DSUnUxJX_A
上海国际货币经纪,2026-07-29 18:02,收盘日评 | 银行间固收市场20260729,https://mp.weixin.qq.com/s/myTNVlUwhatGEGU_rs1PnA
债券笔记,2024-04-11 21:03,《笔记哥•债券基础手册》,https://mp.weixin.qq.com/s/PgmQKQ2UCWAJ3K4njhMKNg
债市唤醒官,2026-08-05 18:15,2026-0805-昨天的大单飞走了？,https://mp.weixin.qq.com/s/mhApaqF_84-YgturAdM93A
债市唤醒官,2026-08-04 17:06,2026-0804-又回到小作文驱动债券了？,https://mp.weixin.qq.com/s/Re7lB-XgrPXMIj0-fUd7eg
债市唤醒官,2026-08-02 19:58,夜热依然午热同，开门小立月明中,https://mp.weixin.qq.com/s/qyWFv0LG_y7rcfvE8s_ivA
债市唤醒官,2026-07-31 17:26,2026-0731-看谁勇敢的tkn下去！,https://mp.weixin.qq.com/s/e6uwzPP2ckrbSE-BJ_fANQ
债市唤醒官,2026-07-29 18:01,2026-0729-普信票息行情继续~,https://mp.weixin.qq.com/s/_6GIueVZ0d6Ql4RIkwR3zQ
交易圈,2026-07-18 23:02,8月7日-8日周五六 长沙 ｜ 债券投资策略与实战交易系统构建暨利率波段、国债期货应用与微观择时实战研修班,https://mp.weixin.qq.com/s/RLfNvKev6kjNZzq04NSTeA
屈庆债券论坛,2026-08-05 13:11,华创证券资管部债券研究员招聘,https://mp.weixin.qq.com/s/0TMGygYVQCpbj6l09Ve-NA
屈庆债券论坛,2026-08-04 14:15,华创证券资管部债券研究员招聘,https://mp.weixin.qq.com/s/WOh4Ii4GnUOmDSwL0ygAtA
屈庆债券论坛,2026-08-03 09:18,华创证券资管部债券研究员招聘,https://mp.weixin.qq.com/s/7okVlc99QIIxlo59hP2-5w
屈庆债券论坛,2026-08-02 10:00,华创证券资管部债券研究员招聘,https://mp.weixin.qq.com/s/fr7KGz6RWL6AsDLT829JKQ
屈庆债券论坛,2026-07-30 16:40,华创资管模拟盘邀请函（2026年8月）,https://mp.weixin.qq.com/s/XfsE_CX1Og2ZHajxOQ050g
屈庆债券论坛,2026-07-24 15:11,华创资管模拟盘邀请函（2026年8月）,https://mp.weixin.qq.com/s/nMsLqC2TJdjNHOdBxy-b5A
知行合一9527,2026-08-05 21:14,突破5000粉，感谢各位粉丝大大的支持！,https://mp.weixin.qq.com/s/SjcGjNjOj9RyKVEZdwaHgA
知行合一9527,2026-08-04 21:51,明天上午应该是个跑路的机会,https://mp.weixin.qq.com/s/IfdcWdXvV920AjKK-YwA8Q
知行合一9527,2026-07-31 00:23,三小时,https://mp.weixin.qq.com/s/GJZQU2cX0KaWdJGAh63e7A
知行合一9527,2026-07-27 20:37,属于正常小调整还是阶段“顶部”迹象？,https://mp.weixin.qq.com/s/B_YHO31E-G_vkoGmNdb4_A
知行合一9527,2026-07-24 16:11,周末愉快,https://mp.weixin.qq.com/s/oHsU613y7SgcPKbhUwcYDg
岛上葫芦娃,2026-08-05 16:07,明天早盘可能出现诱多，随后迎来震荡回调支撑可看10日均线,https://mp.weixin.qq.com/s/wEzA-5gLh059cT2PoZOboQ
岛上葫芦娃,2026-08-03 17:28,冲高意愿不强，震荡回调（回答周五合约持仓的问题）,https://mp.weixin.qq.com/s/nNmBGHISZcn77EDukkJ-IA
岛上葫芦娃,2026-07-31 21:00,上涨后的高位震荡，震荡相同持仓不同,https://mp.weixin.qq.com/s/pLrMFlrR2nROTxZyo2uOSw
岛上葫芦娃,2026-07-30 18:16,会议落地后注意事项,https://mp.weixin.qq.com/s/ibV2ywoE4BwYQKoYAx6sOA
岛上葫芦娃,2026-07-29 17:31,十年等待方向选择，三十年高位回调,https://mp.weixin.qq.com/s/UMT5yZzN8p5UgYLQIHT5hg
岛上葫芦娃,2026-07-28 20:56,还是那个商品群,https://mp.weixin.qq.com/s/XEJ00NNQP-QNanq9F8fIdg
损益笔记,2026-03-19 17:28,债市日评,https://mp.weixin.qq.com/s/ma_K_C0TpVz3mzIIXuUWgQ
损益笔记,2026-03-18 17:01,债市日评,https://mp.weixin.qq.com/s/RgNLV4w9XDliDLMMP45iIQ
债券笔记,2026-08-05 18:21,【笔记20260805— 自卡脖子以自强】,https://mp.weixin.qq.com/s/NZuYuszmYIr4M2aVf5CWRw
债券笔记,2026-08-03 18:37,【笔记20260803— 简历更亮了】,https://mp.weixin.qq.com/s/zpjLV4UIKv1r_DmAbsW43Q
债券笔记,2026-07-31 18:48,【笔记20260731— 投资请去正规市场】,https://mp.weixin.qq.com/s/MuqaHCXNchM97w8E2k5uVQ
债券笔记,2026-07-29 18:13,【笔记20260729— 我在大A等在明救市】,https://mp.weixin.qq.com/s/Z2eSURIwrZFBfHGQaptaYg
债券笔记,2026-07-28 18:27,【笔记20260728— 把钱还我，我去考公】,https://mp.weixin.qq.com/s/oECQ2Hn-dzMyhYXw2FF2gA
交易圈,2026-08-05 17:48,8月债市&quot;买预期&quot;走到哪了？1.65%是底，2.1%是锚,https://mp.weixin.qq.com/s/Pr9O5oLv_uDjEoajCehLyw
交易圈,2026-08-05 07:35,一根大阳线，和一条填了一半的坑…股债双牛，账户看着挺舒服！,https://mp.weixin.qq.com/s/9y4R2B8JBagyn_ex0Qh34g
交易圈,2026-08-05 07:02,小作文叠加央行工具加码，10Y国债击破1.70%关口,https://mp.weixin.qq.com/s/gGwpQpZrKNRma3MzFVisNA
交易圈,2026-08-04 07:59,ICE 买下 MarketAxess：中外债券撮合，到底差在哪一环,https://mp.weixin.qq.com/s/0bihvW1Ap__oOvBCYqljKA
交易圈,2026-08-04 07:02,十债1.7附近的纠结…看破不做破,https://mp.weixin.qq.com/s/QB9yP8cUedOQqG3xyvee2w
交易圈,2026-08-04 17:21,债市又是被小作文硬控的一天,https://mp.weixin.qq.com/s/kVFioIYOs5rlgJJ61kw3Uw
交易圈,2026-08-03 17:55,大行金市久期&quot;紧箍咒&quot; → 下半年还要再卖9400亿超长债,https://mp.weixin.qq.com/s/Mb5xfIO5G2pc32K6crEnDQ
交易圈,2026-08-03 07:03,债市若干不利因素…,https://mp.weixin.qq.com/s/h8vzHybOGgkdMg6_CWW2HA
交易圈,2026-08-02 22:44,8月7日-8日 长沙 ｜ 债券投资策略与实战交易系统构建暨利率波段、国债期货应用与微观择时实战研修班,https://mp.weixin.qq.com/s/4-WlD_3BtX1Ln3fWCnisYA
交易圈,2026-08-01 19:58,债市TOP30实战指标→解码债市交易信号→从分歧度到资金面的全景拆解,https://mp.weixin.qq.com/s/qZ9f0caRtpQy65MSRA8X4A
交易圈,2026-08-02 09:29,26T6大概率仍为下一只活跃券,https://mp.weixin.qq.com/s/4Mxkc9_6WuKNOPIl8R24Hw
交易圈,2026-07-31 19:50,8月发行计划超万亿,https://mp.weixin.qq.com/s/U7ZxEPSvYDdX9J4dAK0BDA
交易圈,2026-07-31 08:18,zzj会议燃爆尾盘，一支穿云箭！,https://mp.weixin.qq.com/s/2wgnmHM_xDIjBHGctcPKBg
交易圈,2026-07-31 07:33,会议后的TL突然拉升,https://mp.weixin.qq.com/s/nI6n0F_M2kFB03c0R9AbwQ
交易圈,2026-07-31 07:02,收益率下行的理想宏观环境：经济弱于预期+货币政策强于预期,https://mp.weixin.qq.com/s/K0WDmMlJ9dTMFbLmdbmT2Q
交易圈,2026-07-30 16:43,超长债利差还会压缩吗？,https://mp.weixin.qq.com/s/KvZKkbVbukOyScCKFa6h8A
交易圈,2026-07-30 07:58,到达关键位置！26T4一波久违的上行，给了大家一个“小惊吓”…,https://mp.weixin.qq.com/s/8_dR2gEkThYSvbo28-NY4w
交易圈,2026-07-30 07:02,央行大量投放，债市走势分化，卖盘是基金和券商，保险和银行是坚定的买盘…,https://mp.weixin.qq.com/s/4j4O6-6HqVg2CJIEm_Cutg
交易圈,2026-07-29 20:00,轻仓上阵，迎接会议，TL再次冲高，30y不复强势，部分头寸进多26t2空26t4…,https://mp.weixin.qq.com/s/-GnG65c88HZeSQP-l87_Yg
交易圈,2026-07-29 18:19,30年独自“过山车”，曲线走陡，会议窗口期多头退潮,https://mp.weixin.qq.com/s/PtfuktJR5zBZUNwDN1yMuQ
郭磊宏观茶座,2026-08-05 15:04,【广发宏观陈礼清】两轮单边后的再平衡：大类资产配置月度展望,https://mp.weixin.qq.com/s/iGBPMWB12XAO5nKObrvNuA
郭磊宏观茶座,2026-08-02 18:20,【广发宏观团队】宏观面四条积极线索浮现,https://mp.weixin.qq.com/s/SzMkxY74L6nXsP-shaoqJA
郭磊宏观茶座,2026-08-01 13:46,【广发宏观贺骁束】高频数据下的7月经济：数量篇,https://mp.weixin.qq.com/s/jsb2Sf-klQOog-vtAzt6DA
郭磊宏观茶座,2026-07-31 15:28,【广发宏观陈嘉荔】美国二季度GDP：表里之辨,https://mp.weixin.qq.com/s/6-a_65-HxOd181W5C06HWw
郭磊宏观茶座,2026-07-31 00:00,【广发宏观郭磊】增量政策与市场预期：7月政治局会议精神简析,https://mp.weixin.qq.com/s/dJrUs71XDEIKEEvDQzqMAw
郭磊宏观茶座,2026-07-30 10:02,【广发宏观陈嘉荔】如何理解美联储7月会议的最新表述,https://mp.weixin.qq.com/s/CDjyJ6ltpnCOLYFpYIYzGg
郭磊宏观茶座,2026-07-27 22:01,【广发宏观王丹】6月企业利润数据：K型小幅收敛,https://mp.weixin.qq.com/s/Ums8j-WW86SzjrK5nnPNyg
郭磊宏观茶座,2026-07-31 18:35,【广发宏观郭磊】7月PMI：环比下行的原因探讨,https://mp.weixin.qq.com/s/daJYLE9bHipnXfRtdTMIfA
郭磊宏观茶座,2026-07-25 11:25,【广发宏观陈嘉荔】重构与验证：2026年中期海外宏观展望,https://mp.weixin.qq.com/s/yvlSA40LC7DBNhhJpixiKw
固收亮话,2026-08-05 15:30,当前长信用应该选择哪些品种？,https://mp.weixin.qq.com/s/4oIitzyK6MLegGNI3-II7Q
固收亮话,2026-08-04 15:30,如何理解美联储“9：3”格局？,https://mp.weixin.qq.com/s/5VZfxmWYjswaDXDVJ039Ww
固收亮话,2026-08-02 23:50,8月债市投资策略展望,https://mp.weixin.qq.com/s/Xfz3YzviorXHev1cj0yvDA
固收亮话,2026-08-01 22:02,当前背景下，转债仓位的重要性凸显,https://mp.weixin.qq.com/s/wvhnmze-7pFYiGzMJOKHZQ
固收亮话,2026-07-30 15:30,这次跨月有什么不同,https://mp.weixin.qq.com/s/M7cac6OuJWAOH2cWII7WKQ
固收亮话,2026-07-29 15:30,美债重回“油价交易”模式,https://mp.weixin.qq.com/s/2hM7lqgvdzkx3vd1TvJpWw
固收亮话,2026-07-27 15:30,固收实务投研框架系列会议（共12期，每周三晚上7点）,https://mp.weixin.qq.com/s/zPcnpa5ucVNeMywPLrCKzA
一瑜中的,2026-05-30 12:11,张瑜：旧尺难刻新舟，胜负定于中游 ——华创证券中期策略会演讲实录,https://mp.weixin.qq.com/s/X3fftkY2Q6k8OvxIZebp-w
一瑜中的,2026-08-05 22:06,消费或小幅回升——7月经济数据前瞻,https://mp.weixin.qq.com/s/UjTmEDhFQFdoabP_HCI6lQ
一瑜中的,2026-08-04 00:00,城镇土地使用税调整的四点理解,https://mp.weixin.qq.com/s/bepElpKbszZerAvhztE2Gw
一瑜中的,2026-08-03 09:20,K型分化略有收敛，但持续性存疑——美国2026年二季度GDP点评,https://mp.weixin.qq.com/s/1TENCAWDeO48Gb9SWgkaIA
一瑜中的,2026-08-01 00:00,“预防式加息”？今年可能不是1997年——7月FOMC点评,https://mp.weixin.qq.com/s/ZbOKSdXWh4WAivrbgFcslw
一瑜中的,2026-07-30 23:38,旧经济利润占比还会回升吗？,https://mp.weixin.qq.com/s/7BGLT3c0GZ7KPRbKWBFAYQ
一瑜中的,2026-07-29 00:00,张瑜：美科技股顶部的迷思？——张瑜旬度会议纪要No.144,https://mp.weixin.qq.com/s/bBhD1ONZlaaURmFMlL1Ejw
一瑜中的,2026-08-02 00:00,极端天气带来不利影响——7月PMI数据点评,https://mp.weixin.qq.com/s/obROJZN22b-bKtJ_UM0ZmQ
一瑜中的,2026-07-31 09:41,张瑜：转型仍是基础前提——7月政治局会议精神学习,https://mp.weixin.qq.com/s/nmpnkCvUzNmg5s9XhgRm-Q
颜子琦固收研究,2026-07-02 11:30,【国海固收颜子琦团队】诚聘分析师（社招）！,https://mp.weixin.qq.com/s/BHsha80YZiNishXfzN5n7A
颜子琦固收研究,2026-08-04 21:36,【国海固收颜子琦团队】8月债市供给还有高峰吗？,https://mp.weixin.qq.com/s/cmhZacMWO1lqI4hU59FFFQ
颜子琦固收研究,2026-08-02 17:48,「国海固收・颜子琦团队」每周研究集锦（7/27-8/2）,https://mp.weixin.qq.com/s/9A9H0jyZKrgJ1I6wOTWzEA
颜子琦固收研究,2026-08-02 09:00,【国海固收颜子琦团队】26T6大概率仍为下一只活跃券,https://mp.weixin.qq.com/s/1Q1qauiSmN4RO8jEfGI5kw
颜子琦固收研究,2026-08-01 13:17,【国海固收颜子琦团队】机构行为有效指标Top30——机构行为100篇（九）,https://mp.weixin.qq.com/s/6NcY5vc71fiGIOL10qDngQ
颜子琦固收研究,2026-07-31 13:22,【国海固收颜子琦团队】基于正股的转债五因子择时模型更新,https://mp.weixin.qq.com/s/mbmumS-F2_emRVBR1FBpVg
颜子琦固收研究,2026-07-27 00:01,【国海固收颜子琦团队】TL是突破还是诱多？,https://mp.weixin.qq.com/s/B7_Yz4JZ3S6dXWUymvygpg
颜子琦固收研究,2026-07-26 17:26,「国海固收・颜子琦团队」每周研究集锦（7/20-7/26）,https://mp.weixin.qq.com/s/_aDwzHtdNsjLGhhQR5o_3A
郁言债市,2026-08-05 16:26,城投债或再次分化,https://mp.weixin.qq.com/s/AunMnbZOek4Dp544HhIiEA
郁言债市,2026-08-04 13:45,类权益 | 8月，科技反弹与再平衡,https://mp.weixin.qq.com/s/O9CP0_H8LmqpV8keVIWuxg
郁言债市,2026-08-03 15:00,债市｜债基久期再创新高,https://mp.weixin.qq.com/s/2ZoZQLnifyE2l1lSuOdtcQ
郁言债市,2026-08-02 23:55,超长利差的博弈空间,https://mp.weixin.qq.com/s/V84B9iAxD3uziJBV-E1_jA
郁言债市,2026-08-01 23:50,资金面愈发平稳,https://mp.weixin.qq.com/s/ZtPbEt1XNWLouSHrr6uCdQ
郁言债市,2026-07-31 17:50,深度 | 广义财政何时扩张？,https://mp.weixin.qq.com/s/v0PweO7HjTHm7_pYIoR2bw
郁言债市,2026-07-30 13:44,沃什重塑美联储：改革的五条主线,https://mp.weixin.qq.com/s/jTzJQDaCc3zgjPx3-pqCOQ
郁言债市,2026-07-29 19:20,兴证资管郑方镳：如何把握科技产业趋势,https://mp.weixin.qq.com/s/qrMUX1vP607NOO5_fkzxpw
郁言债市,2026-07-28 17:11,26Q2，高进攻性固收+基金大放异彩,https://mp.weixin.qq.com/s/oLcWE5jW1aOqdJjoU69Sgg
固收彬法,2026-07-17 09:29,信用负责人张纯祎：风起心动，研途新局,https://mp.weixin.qq.com/s/WKdp_mTxoUUEruhYQa1kuw
固收彬法,2026-08-05 08:45,三季度，调整还会来吗？,https://mp.weixin.qq.com/s/4LpdpiOqxDkBVFtuuAt2CA
固收彬法,2026-08-04 08:02,利率 | 7月宏观数据体现了哪些困难？,https://mp.weixin.qq.com/s/QKuIRIBDuHrx0sUrde6c3Q
固收彬法,2026-08-03 20:22,【财通固收·隋修平团队】周度研究精粹 20260803,https://mp.weixin.qq.com/s/zRPHQMEoyiUBh9-BISR5Uw
固收彬法,2026-08-03 09:13,信用 | 长二永启动，城投下沉缩圈，策略的极与极,https://mp.weixin.qq.com/s/s4WbiyFT0jJOeynuFEiZBA
固收彬法,2026-08-03 08:00,量化日报 | 长端持续看多,https://mp.weixin.qq.com/s/Ew7O0UCpitbWUVSxObDWsw
固收彬法,2026-08-02 20:15,期货｜关注上涨持续性,https://mp.weixin.qq.com/s/RUiezBRb6TVTLgqWkoUeEA
固收彬法,2026-08-02 20:00,利率 | 8月，供给未必来，利差继续压,https://mp.weixin.qq.com/s/qo9sofeWX0it82tO_If43A
固收彬法,2026-08-03 08:29,转债｜估值对冲的极限，攻守转换的前夜——8月转债策略,https://mp.weixin.qq.com/s/3jcMAmhKLdNYYf7bzdYgQw
固收彬法,2026-08-02 16:55,海外 | 股汇回暖，长债承压,https://mp.weixin.qq.com/s/KBBZJ9lQ-KqQH2ehLHtkYg
固收彬法,2026-08-01 17:25,8月流动性是否维持紧平衡？,https://mp.weixin.qq.com/s/wrxjHyu4-hTuhh0BkAGxgg
固收彬法,2026-08-01 17:07,高频 | PMI超季节性下滑，港口吞吐量快速修复,https://mp.weixin.qq.com/s/sTd8D2vZAnp8FP8Zv9EIng
固收彬法,2026-07-31 07:30,转债 | 转债仓位再稀释，哑铃型特征明显-2026Q2公募基金转债持仓分析,https://mp.weixin.qq.com/s/BcNe9l9yiRQeatl3hX6pYw
固收彬法,2026-07-30 19:06,货币政策想象空间正在打开——政治局会议简评,https://mp.weixin.qq.com/s/2rbemCEX354tiijw7vMDBw
固收彬法,2026-07-30 08:11,“家庭式”争吵如期而至 ——美联储7月议息会议点评,https://mp.weixin.qq.com/s/mTzCRHnN1rf0eBugXos9cA
固收彬法,2026-07-29 08:00,量化日报 | 长端债券相对占优,https://mp.weixin.qq.com/s/Vw3sKIpqu1BHXNqqehqwCA
固收彬法,2026-07-29 07:30,什么样的“固收+”基金份额增长更快？,https://mp.weixin.qq.com/s/ikSQ92ffrFgKKY7lEOxiiA
王剑的角度,2026-07-31 10:55,【随笔】贷款定价之锚：LPR与DR,https://mp.weixin.qq.com/s/10FNg1nRGXWQInHpLr8zeA
王剑的角度,2026-07-30 15:04,【国信银行】AIC：从债转股到股权直投的转型之路,https://mp.weixin.qq.com/s/P0YA-b73yz8MsGa6nNYS4A
王剑的角度,2026-07-29 22:18,【国信金融】风险偏好下行，资产荒加剧：银行理财2026半年报点评,https://mp.weixin.qq.com/s/9S3TkDbRR3DCadpIoT8VYA
